kollektion;code;name;bedeutung;serie_key;typ;format_cm;fond;material;herstellung;special_typ;special_text;farben_hex_pantone;stimmungen;farbwelten;text_kurz;text_lang;bild_real_1500;bild_clean_1500;alt_text
campo;CAMPO 01;HORIZONTE;Portugiesisch: Horizont;serie-1-fond;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#DE7A40 16-1350 TCX Amberglow | #D98A94 15-1912 TCX Sea Pink | #AE3A6C 18-2328 TCX Fuchsia Red | #4B4844 19-0508 TCX Peat;erdig kräftig;rot rosa;Die Eröffnung der Kollektion: vier Farbfelder in asymmetrischer Balance, gehalten von einer einzigen feinen Linie. Der Naturfond rahmt wie das Leinen der Referenz-Malereien.;Die Eröffnung der Kollektion: vier Farbfelder in asymmetrischer Balance, gehalten von einer einzigen feinen Linie. Der Naturfond bleibt an allen Rändern sichtbar und rahmt die Komposition wie das Leinen der Referenz-Malereien. Ein Entwurf für großzügige, ruhige Räume, die einen klaren Mittelpunkt vertragen.;images-real/campo-01-horizonte_real_1500.webp;images/campo-01-horizonte_1500.webp;CAMPO 01 HORIZONTE — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 02;SOBRE;Portugiesisch: übereinander;serie-1-fond;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";schlingenflor;Die Überlagerungszonen werden im Schlingenflor ausgeführt — das Transparenz-Prinzip wird strukturell fühlbar.;#20655F 18-5620 TCX Ivy | #DDA13D 14-0952 TCX Spicy Mustard | #AE3A6C 18-2328 TCX Fuchsia Red | #2E4E7E 19-4030 TCX True Navy;erdig verspielt;gruen gelb;Wo sich zwei Felder kreuzen, entsteht eine dritte Farbe — das Transparenz-Prinzip der Malerei, in Wolle übersetzt. Erhöhter Flor als Special möglich.;Sobre — »übereinander«. Wo sich zwei Farbfelder kreuzen, entsteht eine dritte, gemischte Farbe, als läge ein transparentes Tuch über dem anderen. Auf Wunsch lässt sich die Überlagerung zusätzlich als erhöhter Flor absetzen — eine Option, die wir in der individuellen Besprechung anbieten.;images-real/campo-02-sobre_real_1500.webp;images/campo-02-sobre_1500.webp;CAMPO 02 SOBRE — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 03;CANTO;Portugiesisch: die Ecke;serie-1-fond;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#20655F 18-5620 TCX Ivy | #DDA13D 14-0952 TCX Spicy Mustard | #C0402E 18-1447 TCX Orange Rust | #5C3A64 19-3542 TCX Purple Magic | #567F46 18-0119 TCX Willow Bough;erdig kräftig;gruen gelb rot;Vier geschachtelte Farbwinkel wandern diagonal in die Tiefe, ein grünes Feld antwortet aus der Distanz. Funktioniert aus jeder Blickrichtung.;Canto — »die Ecke«. Vier geschachtelte Farbwinkel wandern diagonal in die Tiefe, ein kleines grünes Feld antwortet aus der Distanz. Der Entwurf spielt mit Sog und Perspektive und funktioniert aus jeder Blickrichtung — ideal für Räume, die von mehreren Seiten betreten werden.;images-real/campo-03-canto_real_1500.webp;images/campo-03-canto_1500.webp;CAMPO 03 CANTO — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 04;QUADRAS;Portugiesisch: die Quadrate;serie-1-fond;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#2E4E7E 19-4030 TCX True Navy | #C0402E 18-1447 TCX Orange Rust | #567F46 18-0119 TCX Willow Bough | #D98A94 15-1912 TCX Sea Pink | #DDA13D 14-0952 TCX Spicy Mustard | #AE3A6C 18-2328 TCX Fuchsia Red;erdig verspielt;bunt;Die Hommage an die gehängte Bilderwand: zwölf Miniatur-Kompositionen in einem unsichtbaren Raster — man liest den Teppich wie eine Sammlung.;Die Hommage an die gehängte Bilderwand: zwölf Miniatur-Kompositionen in einem unsichtbaren Raster, jede ein eigenes kleines Farbgedicht. Quadras ist das erzählerischste Stück der Kollektion — man liest den Teppich wie eine Sammlung. Die Miniaturen lassen sich projektspezifisch neu komponieren.;images-real/campo-04-quadras_real_1500.webp;images/campo-04-quadras_1500.webp;CAMPO 04 QUADRAS — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 05;TERRA;Portugiesisch: Erde;serie-1-fond;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#D98A94 15-1912 TCX Sea Pink | #B23A30 18-1354 TCX Burnt Ochre | #8C2F26 19-1541 TCX Red Ochre | #C75B48 17-1544 TCX Burnt Sienna | #5F231D 19-1337 TCX Fired Brick;erdig tonal;rot rosa;Die monochrome Linie der Kollektion: eine tonale Skala in fünf Rotstufen. Farbe als Gewicht — die Komposition sinkt nach unten, der Grund bleibt weit.;"Die monochrome Linie der Kollektion: eine tonale Skala in fünf Rotstufen, von Rosa bis in ein fast schwarzes Braunrot. Farbe wird hier als Gewicht eingesetzt — die Komposition sinkt nach unten, der Naturfond darüber bleibt weit und leer. Terra zeigt, wie die Formensprache in reduzierter Palette trägt; jede andere Farbfamilie ist denkbar.";images-real/campo-05-terra_real_1500.webp;images/campo-05-terra_1500.webp;CAMPO 05 TERRA — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 06;SEQUÊNCIA;Portugiesisch: die Folge;serie-1-fond;Läufer (Fond);80 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#20655F 18-5620 TCX Ivy | #DDA13D 14-0952 TCX Spicy Mustard | #C0402E 18-1447 TCX Orange Rust | #567F46 18-0119 TCX Willow Bough | #5C3A64 19-3542 TCX Purple Magic;erdig verspielt;bunt;Der Läufer als Partitur: Sieben Farbfelder im Wechsel von Takt und Pause — eine Bildergalerie im Vorbeigehen.;Der Läufer als Partitur: Sieben Farbfelder folgen einander im Wechsel von Takt und Pause. Beim Durchschreiten eines Flurs erschließt sich der Entwurf sequenziell — Feld für Feld, wie eine Bildergalerie im Vorbeigehen.;images-real/campo-06-sequencia_real_1500.webp;images/campo-06-sequencia_1500.webp;CAMPO 06 SEQUÊNCIA — Läufer (Fond), Teppichentwurf 80 × 300 · Läufer cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 07;LINHA;Portugiesisch: die Linie;serie-1-fond;Läufer (Fond);80 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#4B4844 19-0508 TCX Peat | #DE7A40 16-1350 TCX Amberglow | #20655F 18-5620 TCX Ivy | #DDA13D 14-0952 TCX Spicy Mustard;leise erdig;neutral rot;Das leiseste Stück: fast nur Grund. Eine feine Linie versetzt sich einmal und wird von drei Feldern gekreuzt.;Das leiseste Stück der Kollektion: fast nur Grund. Eine feine graphitfarbene Linie durchläuft den Läufer, versetzt sich einmal und wird von drei Farbfeldern gekreuzt. Linha ist für Projekte gedacht, in denen der Teppich Haltung zeigen, aber nicht sprechen soll.;images-real/campo-07-linha_real_1500.webp;images/campo-07-linha_1500.webp;CAMPO 07 LINHA — Läufer (Fond), Teppichentwurf 80 × 300 · Läufer cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 08;HORIZONTE CHEIO;Portugiesisch: Horizont, voll;serie-2-cheio;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";fransen;Fransen oben und unten, jeweils in den Farben der angrenzenden Felder.;#D98A94 15-1912 TCX Sea Pink | #DE7A40 16-1350 TCX Amberglow | #AE3A6C 18-2328 TCX Fuchsia Red | #4B4844 19-0508 TCX Peat | #E7DECB 12-0703 TCX Seedpearl;erdig kräftig;rosa rot;Die Favoriten-Komposition randlos: Alles trägt, nichts schwebt. Linho wird eigenständiges Feld — als schmaler Strich und ruhiges Bodenfeld.;Die Favoriten-Komposition der ersten Serie, randlos gedacht: Die Felder stoßen an alle vier Kanten, nichts schwebt mehr — alles trägt. Der Naturton Linho verliert seine Rolle als Fond und wird eigenständiges Feld: als schmaler vertikaler Strich zwischen Rosa und Terracotta und als ruhiges Bodenfeld neben dem Graphit. Die feine Linie bleibt als Kontrapunkt erhalten.;images-real/campo-08-horizonte-cheio_real_1500.webp;images/campo-08-horizonte-cheio_1500.webp;CAMPO 08 HORIZONTE CHEIO — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 09;SOBRE CHEIO;Portugiesisch: übereinander, voll;serie-2-cheio;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";schlingenflor;Alle transparenten Felder im Schlingenflor — Lasur als Struktur, auf der ganzen Fläche.;#DDA13D 14-0952 TCX Spicy Mustard | #E7DECB 12-0703 TCX Seedpearl | #20655F 18-5620 TCX Ivy | #AE3A6C 18-2328 TCX Fuchsia Red | #C0402E 18-1447 TCX Orange Rust;erdig verspielt;gelb gruen rosa;Das Transparenz-Prinzip auf ganzer Fläche: Zwei Grundfarben, drei durchscheinende Felder — bis zur Dreifach-Überlagerung in tiefem Pflaumengrau.;Das Transparenz-Prinzip auf der ganzen Fläche: Zwei Grundfarben teilen den Teppich — Ocker oben, Linho unten. Darüber liegen drei »durchscheinende« Felder, deren Farbe sich mit jedem Untergrund neu mischt. An einer Stelle überlagern sich drei Ebenen zu einem tiefen Pflaumengrau. Was in der Malerei Lasur ist, wird im Teppich zum Mischton im Garn — auf Wunsch zusätzlich als erhöhter Flor, eine Option nach individueller Besprechung.;images-real/campo-09-sobre-cheio_real_1500.webp;images/campo-09-sobre-cheio_1500.webp;CAMPO 09 SOBRE CHEIO — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 10;TERRA CHEIO;Portugiesisch: Erde, voll;serie-2-cheio;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#D98A94 15-1912 TCX Sea Pink | #C75B48 17-1544 TCX Burnt Sienna | #B23A30 18-1354 TCX Burnt Ochre | #8C2F26 19-1541 TCX Red Ochre | #5F231D 19-1337 TCX Fired Brick;erdig tonal kräftig;rot rosa;Die tonale Rotskala vollflächig — nur oben bleibt ein Linho-Band als Atempause. Die Fläche wird nach unten dunkler und schwerer.;Die tonale Linie der Kollektion, ins Vollflächige übersetzt: Fünf Rotstufen füllen die Fläche von Rosa bis in ein fast schwarzes Braunrot, nur oben bleibt ein Band im Naturton als Atempause. Die Fläche wird nach unten dunkler und schwerer — Farbe als Gewicht, jetzt ohne Rahmen. Wie bei TERRA gilt: Jede andere Farbfamilie ist als Variante denkbar.;images-real/campo-10-terra-cheio_real_1500.webp;images/campo-10-terra-cheio_1500.webp;CAMPO 10 TERRA CHEIO — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
